stkcd,fixed_assets_net,total_liab,total_assets,year,net_profit,depreciation,soe,ind_code,listing_state,m2_growth,lev,npr,size,tang,ndts,total_assets_lag1,growth,ind1,is_finance
300396,1005435860,1919824982.41,2925260842.41,2022,291440442.51,1055627679.03,1,C35,,11.81003437199093,.6562918952650857,.0996288735297514,21.79664949054652,.3437081047349144,.36086617088147,2375626201.07,.2313641098470963,C,0
300396,1281453034.5,2039311406.64,3320764441.14,2023,296196140.31,1594542029.89,1,C35,,9.698250482791909,.6141090230236012,.0891951674260634,21.92346084672599,.385890976976399,.4801731824563271,2925260842.41,.1352028485788506,C,0
300396,1058764060.35,2048769327.92,3107533388.27,2024,145687723.93,1176888674.79,1,C35,,7.274370826491445,.6592911714652803,.046882110576809,21.85709512570654,.3407088285347197,.3787211681240173,3320764441.14,-.064211435845416,C,0
300397,375757073.12,1244990209.1,1620747282.22,2015,-62512592.22,164283461.81,0,C39,,13.34310844471526,.7681581346813606,-.0385702280088812,21.20615316515233,.2318418653186393,.1013627871613486,1503605828.23,.0779070230978656,C,0
300397,424829046.83,1216254488.75,1641083535.58,2016,-65504442.33,236179212.78,0,C39,,11.33311636279569,.7411289324282602,-.03991536135109,21.21862255304819,.2588710675717399,.1439166304819019,1620747282.22,.012547454858073,C,0
300397,303581081.4,1298272023.15,1601853104.55,2017,112603887.38,445742251.96,0,C39,,9.042748404443584,.8104813228268622,.0702960134485198,21.19442698635088,.1895186771731378,.2782666217606888,1641083535.58,-.0239052005455255,C,0
300397,281577588.93,1118948094.51,1400525683.44,2018,-199038532.53,282221658.47,0,C39,,8.076331386414997,.7989486431706248,-.1421170171196843,21.06011349126101,.2010513568293752,.2015112338224326,1601853104.55,-.1256840721150631,C,0
300397,529083566.86,1264719998.41,1793803565.27,2019,168446777.78,687572567.92,0,C39,,8.744772290921404,.7050493280849494,.0939048071044756,21.30760409919777,.2949506719150507,.3833042710094668,1400525683.44,.2808073329037585,C,0
300397,398834611.02,1483629644.06,1882464255.08,2020,238641123.69,1299169070.56,0,C39,,10.08347580099083,.7881316418393025,.1267706003160513,21.35584752945273,.2118683581606975,.6901427567902417,1793803565.27,.0494260862931527,C,0
300397,558920989.4400001,1983478997.51,2542399986.95,2021,-88160001.66,610131189.74,0,C39,,8.967617464089015,.7801600879842233,-.0346758976213501,21.65637434861378,.2198399120157768,.239982376050885,1882464255.08,.3505701264122831,C,0
300397,726754435,1831557400.47,2558311835.47,2022,-141085019.4,574891678.41,0,C39,,11.81003437199093,.7159242181020188,-.0551477022636221,21.66261343864264,.2840757818979813,.2247152479378589,2542399986.95,.0062585936916593,C,0
300397,937232787.67,1609078992.54,2546311780.21,2023,-201522309.17,497132914.35,0,C39,,9.698250482791909,.6319253616331679,-.0791428256100594,21.65791178842547,.368074638366832,.1952364664114307,2558311835.47,-.0046906147615094,C,0
300397,980250061.76,1476220861.85,2456470923.61,2024,-116168706.46,403976078.12,0,C39,,7.274370826491445,.6009518971551935,-.0472908941618083,21.62199157299163,.3990481028448065,.1644538407669494,2546311780.21,-.0352827400392385,C,0
300398,262044832.04,733786447.25,995831279.29,2015,121698070.88,516178115.62,0,C26,,13.34310844471526,.7368582033024403,.1222075198991212,20.71908840289615,.2631417966975597,.5183389258349272,834118230.84,.1938730535683731,C,0
300398,362338466.99,781168514.3,1143506981.29,2016,73488243.81,479141949.16,0,C26,,11.33311636279569,.6831340141174802,.0642656713185059,20.85736567660305,.3168659858825199,.4190109522719974,995831279.29,.1482938978431052,C,0
300398,957743819.66,1970608819.24,2928352638.9,2017,77927565.02,910295252.12,0,C26,,9.042748404443584,.6729410908585911,.02661140054815,21.79770586257634,.3270589091414088,.3108557487331653,1143506981.29,1.560852436245296,C,0
300398,1250652820.15,2239024575.91,3489677396.06,2018,329422747.41,1718495611.94,0,C26,,8.076331386414997,.6416136283651771,.0943991979837256,21.97307513222919,.3583863716348228,.4924511400051643,2928352638.9,.1916861889184407,C,0
300398,2256571707.62,2473771519.08,4730343226.7,2019,303811777.83,1881910759.57,0,C26,,8.744772290921404,.5229581450066916,.0642261593440327,22.27726360060198,.4770418549933084,.3978380995585527,3489677396.06,.3555245055146835,C,0
300398,2620215208.61,2919216694.52,5539431903.13,2020,274906811.91,2019659240.1,0,C26,,10.08347580099083,.5269884611941029,.0496272572201252,22.43515778788618,.473011538805897,.3645968170416197,4730343226.7,.1710422769880992,C,0
300398,2611915930.79,3247442458.85,5859358389.64,2021,474332903.04,2926155099.64,0,C26,,8.967617464089015,.554231750799173,.0809530449406668,22.49130594471836,.445768249200827,.4993985527176096,5539431903.13,.0577543856670986,C,0
300398,2487587247.15,3818849586.11,6306436833.26,2022,493192159.95,3610991460.54,0,C26,,11.81003437199093,.6055479008319685,.07820456669746,22.5648366683088,.3944520991680315,.5725882231144718,5859358389.64,.076301604013587,C,0
300398,2535845207.11,3949677012.58,6485522219.69,2023,151241551.92,3660533725.86,0,C26,,9.698250482791909,.6089990719003026,.0233198726019058,22.59283817879572,.3910009280996975,.5644161876042373,6306436833.26,.0283972378008303,C,0
300398,2430107593.06,4153436125,6583543718.06,2024,304925971.41,3636283571.28,0,C26,,7.274370826491445,.6308815286828399,.0463163889340517,22.60783899628848,.3691184713171601,.5523292207060059,6485522219.69,.0151138944636422,C,0
300399,17975058.13,433863355.18,451838413.31,2015,42547402.49,320895232.86,0,I65,,13.34310844471526,.9478759065970551,.0941650847662853,19.92883518120377,.0521240934029449,.7101990964186533,475901188.9,-.0505625456528461,I,0
300399,57336537.12,447517798.14,504854335.26,2016,20728458.99,405588010.23,0,I65,,11.33311636279569,.8864295438990899,.0410582965071001,20.03978050060166,.1135704561009101,.8033763046149186,451838413.31,.1173338086986122,I,0
300399,112075164.27,418261871.85,530337036.12,2017,-27465029.6,502705910.14,0,I65,,9.042748404443584,.7886718131361269,-.0517878777634256,20.08902327960832,.2113281868638731,.9478989320034065,504854335.26,.050475353146916,I,0
